source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,phot_g_mean_flux_over_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,l,b
661894455049468288,132.10922892671567,0.11870252,20.911352968923946,0.06009076,3.9233164606767987,0.13046338,30.072166,-53.23194345309763,0.14063449,-6.910104468048066,0.10147609,17.959528,19.45691,16.873491,2.583418,1.4973812,1.0860367,757.8939,,,1.0603061,0.0,4.1184398e-15,205.2778746867381,34.6785708255262
661913219762617728,132.05284165965446,0.014646059,21.120457887038434,0.0073166275,3.046387160002606,0.017383933,175.24155,-7.658411830420312,0.015876757,-9.365501935856447,0.012787731,12.522567,12.921189,11.985359,0.9358301,0.3986225,0.5372076,134.117,,,0.9490943,0.035568655,1.6733917,205.01664645781918,34.69746963946658
661954344073667584,132.6262882945902,0.43675092,21.604909803487146,0.23521966,5.03794585455872,0.4977686,10.121059,-18.50648653698245,0.5337146,-9.87257739731795,0.3665959,18.766048,19.978374,17.347027,2.6313477,1.212326,1.4190216,131.26001,,,2.1516023,3.4469495,62.3839,204.66802760833292,35.35959121061966
661959979070168320,131.7995809406858,0.10144004,21.130092922159104,0.054481264,5.807407701223046,0.11931257,48.673897,-40.045598131587425,0.124677464,-14.064821428347464,0.08653875,17.81554,19.713564,16.519724,3.19384,1.8980236,1.2958164,825.422,,,1.0213535,0.1435371,0.33094594,204.91164854633675,34.47740077294957
661979186163987840,131.7783068325532,0.093734264,21.355668214331786,0.047412656,3.843497654927759,0.10221989,37.600292,12.026161243281328,0.11818374,-29.100133750991994,0.07758527,17.436409,18.752209,16.26821,2.4839993,1.3157997,1.1681995,1063.7528,,,1.1238418,0.37896386,3.6212683,204.64505917667248,34.53229617128302
661986161191100032,131.89171509870846,0.29012582,21.472752543252838,0.138337,4.262466696974318,0.3214184,13.261428,-23.294361581415007,0.37272426,-64.76100646965136,0.24598306,19.116604,20.931852,17.82092,3.1109314,1.8152485,1.2956829,423.7835,,,1.0683334,0.5549606,0.86242235,204.55213246723176,34.67015459688142
662004200053633792,132.28255126543013,0.11057102,21.62496344434788,0.051182177,4.0735637814072945,0.13580994,29.99459,16.113076472965414,0.13443746,-0.38209808819411745,0.0834829,17.593315,19.114944,16.381504,2.7334404,1.5216293,1.2118111,962.4455,,,0.9905847,0.0,0.0,204.5193488981801,35.063334199317936
662045092440012288,126.77812069495812,0.01939515,17.322551572751703,0.0123263635,5.194180772061643,0.022631926,229.50677,-32.339011220588496,0.022946162,-11.052279471856457,0.0154915545,14.431314,15.36445,13.476703,1.8877478,0.933136,0.9546118,3995.156,38.197483,2.4619348,1.0326341,0.0,0.0,207.14072947125135,28.701023344534256
662060004566475520,126.46338742626835,0.04776715,17.36284016953582,0.032276273,4.7279708466894395,0.053976785,87.59267,-29.775756981552867,0.060119268,-38.6339936510963,0.04624341,16.555521,17.903923,15.408239,2.4956837,1.348402,1.1472816,2069.3064,,,1.0126075,0.058872767,0.25348008,206.97028463213638,28.43744988291697
662067353252805248,127.01729119609095,0.32879072,17.420104998213617,0.19915302,3.3946950171506187,0.41080308,8.263558,-16.7137074171003,0.4003621,-19.81930257510003,0.27995664,19.197453,20.693003,17.919394,2.7736092,1.4955502,1.278059,420.06583,,,1.0346527,0.5909177,0.821696,207.1346551843666,28.949200343215924
